,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Year,Item_Outlet_Sales
8744,10,14.0,5019,0.105057952,1426,141.1812,1553,1553,5583,9294,33,5453.19261429769
8745,9,15.6,5019,0.039454636,1989,169.2132,1550,7996,3980,9294,23,7778.5638675675245
8746,10,11.6,9185,0.017741644,1084,178.3686,1550,7996,4641,9294,16,7040.423054487732
8747,8,16.25,9185,0.039225553,1548,116.2176,1548,7996,4641,9294,18,4757.775467050118
8748,8,20.5,9185,0.141766029,269,87.4172,1550,7996,4641,9294,16,3401.440918541175
8749,10,5.035,5019,0.080236064,416,226.4036,1546,4655,5583,1546,11,8302.497374202567
8750,9,17.6,9185,0.082332074,858,160.392,1550,7996,3980,9294,23,7359.3102838591185
8751,10,18.25,9185,0.136085739,1989,259.8962,880,7996,3980,1805,35,1474.396626776532
8752,10,8.68,9185,0.008885672,1426,96.9384,1543,7996,4641,9294,13,3404.280688582587
8753,9,17.5,9185,0.02231451677777778,1989,255.2356,1553,1553,5583,9294,33,9974.021166921555
8754,9,7.435,9185,0.141355941,269,168.5158,925,7996,5583,1805,22,968.0357511264725
8755,10,8.71,9185,0.121227447,1084,95.2778,1550,7996,4641,9294,16,3713.231110691328
8756,9,5.34,5019,0.005975976,1989,100.8358,1548,7996,4641,9294,18,4129.267255437646
8757,9,10.695,5019,0.011425458,1989,73.6038,1550,7996,3980,9294,23,3344.171273219752
8758,10,14.8,5019,0.043961689,416,109.157,1550,4655,3980,9294,21,4295.615176106763
8759,8,18.0,9185,0.01949589,858,127.8994,1543,7996,4641,9294,13,4506.784071725644
8760,9,12.15,9185,0.029523375,1548,117.215,1550,7996,3980,9294,23,5358.667828929687
8761,9,6.865,5019,0.062751586,1426,244.2486,880,7996,3980,1805,35,1385.710966696148
8762,9,21.2,5019,0.006063933222222222,269,173.0738,1543,7996,4641,9294,13,6138.119828096993
8763,10,8.3,9185,0.059175953,2013,37.8506,925,7996,5583,1805,22,212.52626061620913
8764,9,9.06,9185,0.009831566,280,211.156,1543,7996,4641,9294,13,7507.739400682868
8765,10,5.095,5019,0.216762584,1989,142.2838,925,7996,5583,1805,22,814.6494177514382
8766,9,11.15,9185,0.057254675,1086,104.0622,1543,7996,4641,9294,13,3649.3130422133054
8767,9,5.34,5019,0.005306163555555556,1989,101.0358,925,7996,5583,1805,22,578.2338654012374
8768,9,19.75,9185,0.041598912,2013,118.0466,1543,7996,4641,9294,13,4149.939891616663
8769,9,19.6,9185,0.024206741,1136,47.0718,1553,1553,5583,9294,33,1789.9332122852938
8770,9,10.695,9185,0.063862271,1548,38.1848,1550,4655,3980,9294,21,1476.7535683280767
8771,10,9.42,5019,0.073484791,1426,63.6194,925,7996,5583,1805,22,360.10304315094663
8772,10,13.5,5019,0.125983278,1989,264.691,1543,7996,4641,9294,13,9412.563634265834
8773,9,19.35,5019,0.058161092,2013,239.4564,1548,7996,4641,9294,18,9912.256245875727
8774,10,9.0,9185,0.1092139,1989,175.037,925,7996,5583,1805,22,1006.4657048025081
8775,10,11.6,5019,0.138195491,1426,83.1276,880,7996,3980,1805,35,463.0103132004108
8776,9,20.75,9185,0.007595816,1989,104.4622,1543,7996,4641,9294,13,3673.701006124915
8777,10,15.0,9185,0.11956313,1989,227.2694,1543,7996,4641,9294,13,8062.623888396502
8778,8,17.85,9185,0.018020588,858,94.4094,1550,7996,4641,9294,16,3688.448526879069
8779,10,7.81,9185,0.067442541,726,244.7486,1550,7996,4641,9294,16,9692.072854634267
8780,9,11.15,5019,0.008239804,1136,152.2708,1559,4655,5583,1559,35,9434.306050978314
8781,9,12.1,9185,0.030127406,1084,74.567,1550,7996,3980,9294,23,3384.1518461249466
8782,10,17.6,5019,0.016014343,416,44.0402,1553,1553,5583,9294,33,1673.8087468874144
8783,8,14.0,9185,0.041524729,269,181.7634,1543,7996,4641,9294,13,6434.426174790511
8784,10,15.1,9185,0.055926872,1548,141.4496,1550,4655,3980,9294,21,5587.817077611387
8785,9,14.5,5019,0.097597084,1989,158.5262,1546,4655,5583,1546,11,5778.583976188488
8786,9,18.1,9185,0.177107232,1136,157.5288,1559,4655,5583,1559,35,9724.521305588269
8787,9,20.25,5019,0.009000292555555556,1084,186.4924,1550,4655,3980,9294,21,7418.515729525262
8788,8,9.0,9185,0.019506654,1548,169.5474,1550,7996,3980,9294,23,7801.686123032692
8789,10,11.8,9185,0.022936556,858,177.6686,1546,4655,5583,1546,11,6501.105648964881
8790,9,20.25,9185,0.02610006,1548,182.8976,1543,7996,4641,9294,13,6479.337943246757
8791,8,7.51,9185,0.103974431,1989,112.1544,1550,4655,3980,9294,21,4410.298289266501
8792,9,10.695,5019,0.086360962,1989,153.7972,1559,4655,5583,1559,35,9499.831041948162
8793,10,17.85,9185,0.011298801,1989,213.256,1543,7996,4641,9294,13,7582.169828557056
8794,8,9.1,9185,0.055541153,1548,115.6518,1548,7996,4641,9294,18,4731.989617235314
8795,10,10.0,9185,0.088720803,858,144.4102,1559,4655,5583,1559,35,8910.653337376598
8796,9,5.88,9185,0.024866609,1548,148.3392,1553,1553,5583,9294,33,5745.543744943616
8797,8,15.0,9185,0.064129493,362,45.906,1550,7996,4641,9294,16,1769.7381161094622
8798,8,16.1,9185,0.100213917,2013,79.0328,1550,7996,4641,9294,16,3071.6756496507887
8799,8,21.25,9185,0.155621254,1989,178.237,1550,4655,3980,9294,21,7057.399796246443
8800,8,21.1,5019,0.161832494,2013,65.7168,1548,7996,4641,9294,18,2660.6372189947037
8801,8,11.8,5019,0.170283492,1084,115.1834,1550,7996,3980,9294,23,5251.7092543627205
8802,10,15.15,5019,0.012313256,1989,132.8284,1546,4655,5583,1546,11,4841.789440908643
8803,10,17.25,9185,0.0365964795,1136,94.812,1559,4655,5583,1559,35,5817.854049081427
8804,9,5.985,9185,0.005689466,1086,186.6924,1546,4655,5583,1546,11,6849.788637933374
8805,9,9.13,9185,0.052140695,1548,153.4024,1543,7996,4641,9294,13,5413.968619820515
8806,8,9.0,5019,0.050579228,1084,151.3024,1550,4655,3980,9294,21,5984.3388403660465
8807,9,9.285,5019,0.04904165,1426,245.5144,1559,4655,5583,1559,35,15291.375884467207
8808,9,17.75,9185,0.034806679,1136,250.175,1550,4655,3980,9294,21,9980.396729924614
8809,10,8.6,5019,0.095395258,416,131.131,880,7996,3980,1805,35,736.1289228380367
8810,10,7.325,9185,0.093530571,2013,90.4146,1550,4655,3980,9294,21,3543.630880004106
